model,brand,product,product_parent,file_urls,type,ean,url,thumb,source
NVR-2778DVD-PDCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2778.pdf,Ficha,8427155502821,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2778dvd-pdcu/,https://nevir.es/wp-content/uploads/2021/07/2778all-600x518.png,nevir.es
NVR-2776DVD-PDCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2776manual.pdf,Manual de Instrucciones,8427155502753,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2776dvd-pdcu/,https://nevir.es/wp-content/uploads/2021/07/2776all-600x591.png,nevir.es
NVR-2776DVD-PDCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2776.pdf,Ficha,8427155502753,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2776dvd-pdcu/,https://nevir.es/wp-content/uploads/2021/07/2776all-600x591.png,nevir.es
NVR-8075-32RD2S-SMA-N,Nevir,Tv Led 3232 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/03/8075-32manual.pdf,Manual de instrucciones,8427155023418,https://nevir.es/productos/televisores/tv-led-32/nvr-8075-32rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8075-32RD2S-SMA-N_frontal-600x391.png,nevir.es
NVR-8075-32RD2S-SMA-N,Nevir,Tv Led 3232 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/03/8075-32.pdf,Ficha,8427155023418,https://nevir.es/productos/televisores/tv-led-32/nvr-8075-32rd2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8075-32RD2S-SMA-N_frontal-600x391.png,nevir.es
NVR-8075-554K2S-SMA-N,Nevir,Tv Led 5555 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8075-55-2.pdf,Ficha,8427155023425,https://nevir.es/productos/televisores/tv-led-55/nvr-8075-554k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8076-55frontal-600x374.png,nevir.es
NVR-8075-554K2S-SMA-N,Nevir,Tv Led 5555 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8075-55manual.pdf,Manual de instrucciones,8427155023425,https://nevir.es/productos/televisores/tv-led-55/nvr-8075-554k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8076-55frontal-600x374.png,nevir.es
NVR-8075-554K2S-SMA-N,Nevir,Tv Led 5555 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8075-55label.pdf,Etiqueta Energética,8427155023425,https://nevir.es/productos/televisores/tv-led-55/nvr-8075-554k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8076-55frontal-600x374.png,nevir.es
NVR-8076-554K2S-SMA-N,Nevir,Tv Led 5555 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8076-55.pdf,Ficha,8427155023487,https://nevir.es/productos/televisores/tv-led-55/nvr-8076-554k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8076-55frontal-600x374.png,nevir.es
NVR-8076-554K2S-SMA-N,Nevir,Tv Led 5555 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8076-55manual.pdf,Manual de instrucciones,8427155023487,https://nevir.es/productos/televisores/tv-led-55/nvr-8076-554k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8076-55frontal-600x374.png,nevir.es
